# Candidate sweep manifest. Columns separated by exactly ONE tab.
# Order: label <tab> hf_repo <tab> filename <tab> params
#
# WHY THESE: S_perf = min(TPS/15, 1.0)*100, so throughput above ~15 tok/s scores
# nothing extra. The goal is the LARGEST, most accurate model that still clears
# 15 tok/s on the audit VM -- not the fastest model available.
#
# Run ./verify_candidates.sh before ./sweep.sh: it HEAD-requests every URL and
# tells you which are real in ~10 seconds, instead of failing mid-download.

# ---- VERIFIED against the HuggingFace API, 18 Aug 2026 -----------------------
# Qwen/Qwen3-1.7B-GGUF (the official repo) publishes ONLY Q8_0 -- no Q4_K_M.
# The unsloth mirror below carries the full quant range. "UD" = Unsloth Dynamic
# quantization: same file size as Q4_K_M, measurably better quality.
qwen3-1.7b-q4km	unsloth/Qwen3-1.7B-GGUF	Qwen3-1.7B-Q4_K_M.gguf	1.7B
qwen3-1.7b-udq4xl	unsloth/Qwen3-1.7B-GGUF	Qwen3-1.7B-UD-Q4_K_XL.gguf	1.7B
qwen25-1.5b-q4km	Qwen/Qwen2.5-1.5B-Instruct-GGUF	qwen2.5-1.5b-instruct-q4_k_m.gguf	1.5B
llama32-1b-q4km	unsloth/Llama-3.2-1B-Instruct-GGUF	Llama-3.2-1B-Instruct-Q4_K_M.gguf	1.2B

# ---- Verified 18 Aug 2026: the "can I afford a bigger model?" end -------------
# Both ~1.9 GB. If either clears 15 tok/s on the audit VM it likely wins outright,
# because the extra parameters buy accuracy that the capped throughput term
# no longer charges us for.
qwen3-4b-q3km	unsloth/Qwen3-4B-GGUF	Qwen3-4B-Q3_K_M.gguf	4.0B
llama32-3b-q4km	unsloth/Llama-3.2-3B-Instruct-GGUF	Llama-3.2-3B-Instruct-Q4_K_M.gguf	3.2B

# REMOVED: gemma-2-2b returned HTTP 401 (gated behind Google's licence).
# Competition rules require download_model.sh to succeed with no credentials,
# so any gated model is disqualified regardless of how well it scores.

# ---- Floor baseline: evidence that the tiny-model strategy is a trap ----------
# Expect fast, small, and still losing on total score. Keep it: showing a
# rejected alternative with real numbers is exactly what the report needs.
qwen25-0.5b-q4km	Qwen/Qwen2.5-0.5B-Instruct-GGUF	qwen2.5-0.5b-instruct-q4_k_m.gguf	0.5B
